State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Date
West Bengal,Kolkata,Mechua,Apple,Fruits,136.4,11400,13500,12500,01-Sep-21,01-09-2021
West Bengal,Kolkata,Mechua,Apple,Fruits,136.4,10000,12000,11000,01-Sep-21,01-09-2021
Himachal Pradesh,Kullu,Bandrol,Delicious,Fruits,437.5,1300,6400,3200,01-Sep-21,01-09-2021
Himachal Pradesh,Mandi,Chail Chowk,Other,Fruits,1.54,700,2000,1000,01-Sep-21,01-09-2021
Himachal Pradesh,Kangra,Kangra,Other,Fruits,1.7,3500,8000,5750,01-Sep-21,01-09-2021
Himachal Pradesh,Kangra,Kangra(Jassour),Other,Fruits,1.2,2000,7000,4500,01-Sep-21,01-09-2021
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),American,Fruits,0.35,3000,8000,5500,01-Sep-21,01-09-2021
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Other,Fruits,318.6,500,5500,3500,01-Sep-21,01-09-2021
Himachal Pradesh,Mandi,Mandi(Mandi),Apple,Fruits,1.88,2000,7000,5000,01-Sep-21,01-09-2021
Himachal Pradesh,Kangra,Palampur,Apple,Fruits,0.8,4000,8000,6000,01-Sep-21,01-09-2021
Himachal Pradesh,Solan,Solan,Apple,Fruits,492.12,3000,9500,6000,01-Sep-21,01-09-2021
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apple,Fruits,6.5,1000,4600,2500,01-Sep-21,01-09-2021
West Bengal,Kolkata,Mechua,Apple,Fruits,136.4,6000,7800,7000,01-Sep-21,01-09-2021
West Bengal,Kolkata,Mechua,Apple,Fruits,143.8,11500,13500,12700,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kullu,Bandrol,Delicious,Fruits,456.0,1200,5800,3200,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kullu,Bhuntar,Apple,Fruits,56.0,2000,6000,4500,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Bilaspur,Bilaspur,Apple,Fruits,0.3,3000,7500,4500,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Hamirpur,Hamirpur,Other,Fruits,0.9,5000,9000,7000,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kangra,Kangra,Other,Fruits,1.6,3000,8000,5500,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kangra,Kangra(Jassour),Other,Fruits,0.3,2000,7000,4500,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),American,Fruits,0.3,3000,8000,5500,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kullu,Kullu,Other,Fruits,0.9,2000,5000,4000,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Apple,Fruits,9.0,800,5000,2800,02-Sep-21,02-09-2021 00:00
Himachal Pradesh,Kullu,Kullu(Patli Kuhal),Other,Fruits,284.4,500,5000,3500,02-Sep-21,02-09-2021 00:00
