State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Date
West Bengal,Kolkata,Mechua,Other,Fruits,37.9,2100,3300,2700,01 Sep 2021,2021-09-01
West Bengal,Kolkata,Mechua,Other,Fruits,38.9,2100,3300,2800,02 Sep 2021,2021-09-02
West Bengal,Kolkata,Mechua,Other,Fruits,37.9,2200,3300,2800,03 Sep 2021,2021-09-03
West Bengal,Kolkata,Mechua,Other,Fruits,35.9,2100,3300,2700,04 Sep 2021,2021-09-04
West Bengal,Kolkata,Mechua,Other,Fruits,38.9,2100,3300,2700,06 Sep 2021,2021-09-06
West Bengal,Kolkata,Mechua,Other,Fruits,38.6,2100,3300,2700,07 Sep 2021,2021-09-07
West Bengal,Kolkata,Mechua,Other,Fruits,37.9,2100,3300,2800,08 Sep 2021,2021-09-08
West Bengal,Kolkata,Mechua,Other,Fruits,37.8,2100,3300,2800,09 Sep 2021,2021-09-09
West Bengal,Kolkata,Mechua,Other,Fruits,36.7,2000,3200,2700,10 Sep 2021,2021-09-10
West Bengal,Kolkata,Mechua,Other,Fruits,37.6,2100,3200,2700,11 Sep 2021,2021-09-11
West Bengal,Kolkata,Mechua,Other,Fruits,38.9,2200,3300,2800,12 Sep 2021,2021-09-12
West Bengal,Kolkata,Mechua,Other,Fruits,37.9,2100,3100,2700,13 Sep 2021,2021-09-13
West Bengal,Kolkata,Mechua,Other,Fruits,35.9,2000,3100,2700,14 Sep 2021,2021-09-14
West Bengal,Kolkata,Mechua,Other,Fruits,36.8,2100,3200,2700,15 Sep 2021,2021-09-15
West Bengal,Kolkata,Mechua,Other,Fruits,36.9,2100,3000,2600,28 Sep 2021,2021-09-28
West Bengal,Darjeeling,Siliguri,Other,Fruits,37.0,2200,2600,2400,29 Sep 2021,2021-09-29
West Bengal,Darjeeling,Siliguri,Other,Fruits,36.0,2200,2600,2400,30 Sep 2021,2021-09-30
West Bengal,Kolkata,Mechua,Other,Fruits,38.7,2000,3200,2700,30 Sep 2021,2021-09-30
West Bengal,Darjeeling,Siliguri,Other,Fruits,41.0,2000,2400,2200,01 Jan 2022,2022-01-01 00:00:00
West Bengal,Kolkata,Mechua,Other,Fruits,39.7,2200,3300,2700,02 Jan 2022,2022-01-02 00:00:00
West Bengal,Darjeeling,Siliguri,Other,Fruits,42.0,2000,2400,2200,03 Jan 2022,2022-01-03 00:00:00
West Bengal,Kolkata,Mechua,Other,Fruits,37.5,2300,3300,2800,03 Jan 2022,2022-01-03 00:00:00
West Bengal,Darjeeling,Siliguri,Other,Fruits,43.0,2000,2400,2200,04 Jan 2022,2022-01-04 00:00:00
West Bengal,Darjeeling,Siliguri,Other,Fruits,44.0,1800,2200,2000,05 Jan 2022,2022-01-05 00:00:00
West Bengal,Kolkata,Mechua,Other,Fruits,39.7,2400,3400,2800,06 Jan 2022,2022-01-06 00:00:00
West Bengal,Darjeeling,Siliguri,Other,Fruits,45.0,1800,2200,2000,06 Jan 2022,2022-01-06 00:00:00
West Bengal,Kolkata,Mechua,Other,Fruits,39.5,2300,3300,2800,07 Jan 2022,2022-01-07 00:00:00
