Date,State Name,District Name,Market Name,Commodity,Arrivals (Tonnes),Modal Price (Rs./Quintal)
01-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
02-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,7500
06-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
11-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
12-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7500
17-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,7500
19-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
23-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,2500
30-01-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
03-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7000
05-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
06-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7500
08-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
16-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
27-02-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9000
01-03-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8000
09-03-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7500
16-03-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7800
03-04-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
10-04-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9500
02-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,14000
08-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,13500
10-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,14000
22-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,16000
28-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,1.2,14000
30-05-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15200
28-07-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
05-09-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,3200
17-09-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,3500
18-09-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4200
06-10-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5500
27-10-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5200
28-10-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
03-11-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5200
04-12-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5500
06-12-2018,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
04-01-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5500
18-01-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
01-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
06-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.01,6800
07-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6000
12-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
15-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5500
22-02-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7800
08-03-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7000
16-03-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,2800
02-04-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7500
02-05-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,10000
10-06-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
03-07-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,11000
25-07-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,4500
29-07-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,10000
03-08-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,4500
06-08-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6000
12-08-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,4500
22-08-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
30-08-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
02-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4600
12-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,3500
16-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
17-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,3200
21-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
24-09-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,5200
03-10-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4200
12-10-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
21-10-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,3000
02-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5600
06-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
07-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
08-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
15-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,5500
16-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,1.7,6500
22-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
27-11-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
02-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
07-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.15,6500
10-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,6500
17-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6000
19-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,6000
27-12-2019,Himachal Pradesh,Bilaspur,Bilaspur,Apple,1.7,7500
13-01-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,7200
22-01-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8000
27-01-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
10-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8500
11-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9500
18-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,9000
19-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9500
26-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,9500
27-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,12000
29-02-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,10000
07-03-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9500
12-03-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,11000
16-03-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,11000
31-03-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,11000
07-04-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,8000
09-04-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,10000
08-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,9000
09-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,9500
12-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,10000
16-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,12000
19-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,12000
23-05-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,8000
15-06-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.07,12000
27-06-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.03,11000
08-07-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
09-07-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.03,15000
18-07-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
21-07-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.05,20000
30-07-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,5500
08-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,8000
11-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,8500
12-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
13-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,8000
21-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7500
24-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,8500
27-08-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
05-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
08-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,7500
09-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,7000
11-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,7000
14-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,5500
15-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,5000
18-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,6500
22-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,7000
23-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,5500
24-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,5500
25-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,3500
26-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,3500
29-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
30-09-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,6500
03-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
05-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,3800
10-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,6000
12-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,6000
13-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,6000
14-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,5500
16-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,6000
17-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,6500
20-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
24-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,8000
27-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,7000
28-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,6500
29-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,7000
31-10-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,9000
02-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,9000
09-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,11500
10-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,10000
12-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,7000
13-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,9000
14-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,6500
16-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8000
18-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9000
20-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,8500
21-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8000
23-11-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,7000
18-12-2020,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8000
20-01-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,8500
17-02-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,9000
09-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,9000
10-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,12000
16-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,11000
18-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9000
23-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,12000
27-03-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,9500
23-04-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,12000
26-04-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,15000
27-04-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,15000
25-05-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,26000
23-06-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,25000
12-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,22500
15-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,3500
17-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,24000
26-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,23000
27-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.1,4500
30-07-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,22000
03-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,15000
06-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,21000
07-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,21000
09-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,21000
11-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,21000
12-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,6000
16-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.3,4500
17-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.2,4500
18-08-2021,Himachal Pradesh,Bilaspur,Bilaspur,Apple,0.4,5700
